equip									100												
装备编号	装备名字	装备穿戴职业	装备的部位	装备品质	装备描述	装备图标	装备穿戴等级	装备附带攻击	装备附带攻速	装备附带范围	装备附带HP	装备升级攻击增量	装备升级攻速增量	装备升级范围增量	装备升级HP增量	装备是否为神装	神装升星所需装备编号	神装升星所需道具编号	装备所属套装编号	装备合成需要的碎片数	装备碎片售价
3101	700043	[1,2]	1	3	710043	3101	10	40	0	0	0	500	0	0	0	0	0	0	0	10	500
3201	700044	[1,2]	2	3	710044	3201	10	20	0	15	0	250	0	60	0	0	0	0	0	10	350
3301	700045	[1,2]	3	3	710045	3301	10	0	0	0	400	0	0	0	6000	0	0	0	0	10	350
3401	700046	[1,2]	4	3	710046	3401	10	20	10	0	0	250	60	0	0	0	0	0	0	10	350
3501	700047	[1,2]	5	3	710047	3501	10	0	0	0	0	0	0	0	0	0	0	0	0	10	350
3601	700048	[1,2]	6	3	710048	3601	10	0	15	0	90	0	80	0	3500	0	0	0	0	10	350
3102	700049	[3,4]	1	3	710049	3102	10	40	0	0	0	500	0	0	0	0	0	0	0	10	500
3202	700050	[3,4]	2	3	710050	3202	10	20	0	15	0	250	0	60	0	0	0	0	0	10	350
3302	700051	[3,4]	3	3	710051	3302	10	0	0	0	400	0	0	0	6000	0	0	0	0	10	350
3402	700052	[3,4]	4	3	710052	3402	10	20	10	0	0	250	60	0	0	0	0	0	0	10	350
3502	700053	[3,4]	5	3	710053	3502	10	0	0	0	0	0	0	0	0	0	0	0	0	10	350
3602	700054	[3,4]	6	3	710054	3602	10	0	15	0	90	0	80	0	3500	0	0	0	0	10	350
3111	700055	[1,2]	1	3	710055	3101	10	100	0	0	0	530	0	0	0	0	0	0	0	10	1000
3211	700056	[1,2]	2	3	710056	3201	10	50	0	22	0	260	0	60	0	0	0	0	0	10	350
3311	700057	[1,2]	3	3	710057	3301	10	0	0	0	1000	0	0	0	6500	0	0	0	0	10	350
3411	700058	[1,2]	4	3	710058	3401	10	50	10	0	0	260	60	0	0	0	0	0	0	10	350
3511	700059	[1,2]	5	3	710059	3501	10	0	0	0	0	0	0	0	0	0	0	0	0	10	350
3611	700060	[1,2]	6	3	710060	3601	10	0	15	0	450	0	80	0	3500	0	0	0	0	10	350
3112	700061	[3,4]	1	3	710061	3102	10	100	0	0	0	530	0	0	0	0	0	0	0	10	1000
3212	700062	[3,4]	2	3	710062	3202	10	50	0	22	0	260	0	60	0	0	0	0	0	10	350
3312	700063	[3,4]	3	3	710063	3302	10	0	0	0	1000	0	0	0	6500	0	0	0	0	10	350
3412	700064	[3,4]	4	3	710064	3402	10	50	10	0	0	260	60	0	0	0	0	0	0	10	350
3512	700065	[3,4]	5	3	710065	3502	10	0	0	0	0	0	0	0	0	0	0	0	0	10	350
3612	700066	[3,4]	6	3	710066	3602	10	0	15	0	450	0	80	0	3500	0	0	0	0	10	350
3121	700067	[1,2]	1	3	710067	3101	10	50	3	0	0	500	0	0	0	1	3101	0	0	10	1000
3221	700068	[1,2]	2	3	710068	3201	10	25	0	22	200	250	0	60	0	1	3201	0	0	10	350
3321	700069	[1,2]	3	3	710069	3301	10	5	0	0	450	0	0	0	6000	1	3301	0	0	10	350
3421	700070	[1,2]	4	3	710070	3401	10	25	10	0	100	250	60	0	0	1	3401	0	0	10	350
3521	700071	[1,2]	5	3	710071	3501	10	0	0	0	0	0	0	0	0	1	3501	0	0	10	350
3621	700072	[1,2]	6	3	710072	3601	10	0	15	2	105	0	80	0	3500	1	3601	0	0	10	350
3122	700073	[3,4]	1	3	710073	3102	10	50	3	0	0	500	0	0	0	1	3102	0	0	10	1000
3222	700074	[3,4]	2	3	710074	3202	10	25	0	22	200	250	0	60	0	1	3202	0	0	10	350
3322	700075	[3,4]	3	3	710075	3302	10	5	0	0	450	0	0	0	6000	1	3302	0	0	10	350
3422	700076	[3,4]	4	3	710076	3402	10	25	10	0	100	250	60	0	0	1	3402	0	0	10	350
3522	700077	[3,4]	5	3	710077	3502	10	0	0	0	0	0	0	0	0	1	3502	0	0	10	350
3622	700078	[3,4]	6	3	710078	3602	10	0	15	2	105	0	80	0	3500	1	3602	0	0	10	350
4101	700079	[1,2]	1	4	710079	4101	20	60	0	0	0	600	0	0	0	0	0	0	0	10	1000
4201	700080	[1,2]	2	4	710080	4201	20	30	0	25	0	300	0	70	0	0	0	0	0	10	700
4301	700081	[1,2]	3	4	710081	4301	20	0	0	0	500	0	0	0	8000	0	0	0	0	10	700
4401	700082	[1,2]	4	4	710082	4401	20	30	12	0	0	300	70	0	0	0	0	0	0	10	700
4501	700083	[1,2]	5	4	710083	4501	20	0	0	0	0	0	0	0	0	0	0	0	0	10	700
4601	700084	[1,2]	6	4	710084	4601	20	0	18	0	120	0	100	0	4000	0	0	0	0	10	700
4102	700085	[3,4]	1	4	710085	4102	20	60	0	0	0	600	0	0	0	0	0	0	0	10	1000
4202	700086	[3,4]	2	4	710086	4202	20	30	0	25	0	300	0	70	0	0	0	0	0	10	700
4302	700087	[3,4]	3	4	710087	4302	20	0	0	0	500	0	0	0	8000	0	0	0	0	10	700
4402	700088	[3,4]	4	4	710088	4402	20	30	12	0	0	300	70	0	0	0	0	0	0	10	700
4502	700089	[3,4]	5	4	710089	4502	20	0	0	0	0	0	0	0	0	0	0	0	0	10	700
4602	700090	[3,4]	6	4	710090	4602	20	0	18	0	120	0	100	0	4000	0	0	0	0	10	700
4121	700091	[1,2]	1	4	710091	4101	20	80	5	0	0	600	0	0	0	1	4101	34	0	10	2000
4221	700092	[1,2]	2	4	710092	4201	20	40	0	25	300	300	0	70	0	1	4201	34	0	10	1400
4321	700093	[1,2]	3	4	710093	4301	20	10	0	0	600	0	0	0	8000	1	4301	34	0	10	1400
4421	700094	[1,2]	4	4	710094	4401	20	40	12	0	150	300	70	0	0	1	4401	34	0	10	1400
4521	700095	[1,2]	5	4	710095	4501	20	0	0	0	0	0	0	0	0	1	4501	34	0	10	1400
4621	700096	[1,2]	6	4	710096	4601	20	0	18	4	135	0	100	0	4000	1	4601	34	0	10	1400
4122	700097	[3,4]	1	4	710097	4102	20	80	5	0	0	600	0	0	0	1	4102	34	0	10	2000
4222	700098	[3,4]	2	4	710098	4202	20	40	0	25	300	300	0	70	0	1	4202	34	0	10	1400
4322	700099	[3,4]	3	4	710099	4302	20	10	0	0	600	0	0	0	8000	1	4302	34	0	10	1400
4422	700100	[3,4]	4	4	710100	4402	20	40	12	0	150	300	70	0	0	1	4402	34	0	10	1400
4522	700101	[3,4]	5	4	710101	4502	20	0	0	0	0	0	0	0	0	1	4502	34	0	10	1400
4622	700102	[3,4]	6	4	710102	4602	20	0	18	4	135	0	100	0	4000	1	4602	34	0	10	1400
5101	700103	[1,2]	1	5	710103	5101	30	100	0	0	0	800	0	0	0	0	0	0	0	10	2500
5201	700104	[1,2]	2	5	710104	5201	30	50	0	25	0	400	0	80	0	0	0	0	0	10	1750
5301	700105	[1,2]	3	5	710105	5301	30	0	0	0	700	0	0	0	10000	0	0	0	0	10	1750
5401	700106	[1,2]	4	5	710106	5401	30	50	15	0	0	400	80	0	0	0	0	0	0	10	1750
5501	700107	[1,2]	5	5	710107	5501	30	0	0	0	0	0	0	0	0	0	0	0	0	10	1750
5601	700108	[1,2]	6	5	710108	5601	30	0	24	0	150	0	120	0	5000	0	0	0	0	10	1750
5102	700109	[3,4]	1	5	710109	5102	30	100	0	0	0	800	0	0	0	0	0	0	0	10	2500
5202	700110	[3,4]	2	5	710110	5202	30	50	0	25	0	400	0	80	0	0	0	0	0	10	1750
5302	700111	[3,4]	3	5	710111	5302	30	0	0	0	700	0	0	0	10000	0	0	0	0	10	1750
5402	700112	[3,4]	4	5	710112	5402	30	50	15	0	0	400	80	0	0	0	0	0	0	10	1750
5502	700113	[3,4]	5	5	710113	5502	30	0	0	0	0	0	0	0	0	0	0	0	0	10	1750
5602	700114	[3,4]	6	5	710114	5602	30	0	24	0	150	0	120	0	5000	0	0	0	0	10	1750
5121	700115	[1,2]	1	5	710115	5101	30	140	8	0	0	900	0	0	0	1	5101	35	0	10	5000
5221	700116	[1,2]	2	5	710116	5201	30	70	0	25	450	500	0	80	0	1	5201	35	0	10	3500
5321	700117	[1,2]	3	5	710117	5301	30	20	0	0	900	0	0	0	10000	1	5301	35	0	10	3500
5421	700118	[1,2]	4	5	710118	5401	30	70	15	0	225	500	80	0	0	1	5401	35	0	10	3500
5521	700119	[1,2]	5	5	710119	5501	30	0	0	0	0	0	0	0	0	1	5501	35	0	10	3500
5621	700120	[1,2]	6	5	710120	5601	30	0	24	6	165	0	120	0	5000	1	5601	35	0	10	3500
5122	700121	[3,4]	1	5	710121	5102	30	140	8	0	0	900	0	0	0	1	5102	35	0	10	5000
5222	700122	[3,4]	2	5	710122	5202	30	70	0	25	450	500	0	80	0	1	5202	35	0	10	3500
5322	700123	[3,4]	3	5	710123	5302	30	20	0	0	900	0	0	0	10000	1	5302	35	0	10	3500
5422	700124	[3,4]	4	5	710124	5402	30	70	15	0	225	500	80	0	0	1	5402	35	0	10	3500
5522	700125	[3,4]	5	5	710125	5502	30	0	0	0	0	0	0	0	0	1	5502	35	0	10	3500
5622	700126	[3,4]	6	5	710126	5602	30	0	24	6	165	0	120	0	5000	1	5602	35	0	10	3500
6101	700127	[1,2]	1	6	710127	6101	40	130	0	0	0	1040	0	0	0	1	5101	35	0	10	2500
6201	700128	[1,2]	2	6	710128	6201	40	65	0	25	0	520	0	104	0	1	5201	35	0	10	1750
6301	700129	[1,2]	3	6	710129	6301	40	0	0	0	910	0	0	0	13000	1	5301	35	0	10	1750
6401	700130	[1,2]	4	6	710130	6401	40	65	20	0	0	520	104	0	0	1	5401	35	0	10	1750
6501	700131	[1,2]	5	6	710131	6501	40	0	0	0	0	0	0	0	0	1	5501	35	0	10	1750
6601	700132	[1,2]	6	6	710132	6601	40	0	32	0	200	0	156	0	6500	1	5601	35	0	10	1750
7101	700133	[1,2]	1	5	710133	7101	30	140	8	0	0	900	0	0	0	1	5101	35	1001	10	5000
7201	700134	[1,2]	2	5	710134	7201	30	70	0	25	0	500	0	80	0	1	5201	35	1001	10	3500
7301	700135	[1,2]	3	5	710135	7301	30	20	0	0	900	0	0	0	10000	1	5301	35	1001	10	3500
7401	700136	[1,2]	4	5	710136	7401	30	70	15	0	0	500	80	0	0	1	5401	35	1001	10	3500
7501	700137	[1,2]	5	5	710137	7501	30	0	0	0	0	0	0	0	0	1	5501	35	0	10	3500
7601	700138	[1,2]	6	5	710138	7601	30	0	24	0	165	0	120	0	5000	1	5601	35	1001	10	3500
5103	700139	[1,2]	1	5	710139	5103	30	100	0	0	0	800	0	0	0	0	0	0	0	10	2500
5203	700140	[1,2]	2	5	710140	5203	30	50	0	25	0	400	0	80	0	0	0	0	0	10	1750
5303	700141	[1,2]	3	5	710141	5303	30	0	0	0	700	0	0	0	10000	0	0	0	0	10	1750
5403	700142	[1,2]	4	5	710142	5403	30	50	15	0	0	400	80	0	0	0	0	0	0	10	1750
5603	700143	[1,2]	5	5	710143	5603	30	0	24	0	150	0	120	0	5000	0	0	0	0	10	1750
5104	700144	[3,4]	1	5	710144	5104	30	100	0	0	0	800	0	0	0	0	0	0	0	10	2500
5204	700145	[3,4]	2	5	710145	5204	30	50	0	25	0	400	0	80	0	0	0	0	0	10	1750
5304	700146	[3,4]	3	5	710146	5304	30	0	0	0	700	0	0	0	10000	0	0	0	0	10	1750
5404	700147	[3,4]	4	5	710147	5404	30	50	15	0	0	400	80	0	0	0	0	0	0	10	1750
5604	700148	[3,4]	5	5	710148	5604	30	0	24	0	150	0	120	0	5000	0	0	0	0	10	1750
7102	700149	[1,2]	1	5	710149	7102	30	140	8	0	0	900	0	0	0	1	5101	35	1001	10	5000
7202	700150	[1,2]	2	5	710150	7202	30	70	0	25	0	500	0	80	0	1	5201	35	1001	10	3500
7302	700151	[1,2]	3	5	710151	7302	30	20	0	0	900	0	0	0	10000	1	5301	35	1001	10	3500
7402	700152	[1,2]	4	5	710152	7402	30	70	15	0	0	500	80	0	0	1	5401	35	1001	10	3500
7602	700153	[1,2]	5	5	710153	7602	30	0	24	0	165	0	120	0	5000	1	5601	35	1001	10	3500
710200	700154	[1,2]	1	5	710154	7102	30	140	8	0	0	900	0	0	0	1	5101	35	1001	10	500
720200	700155	[1,2]	2	5	710155	7202	30	70	0	25	0	500	0	80	0	1	5201	35	1001	10	350
730200	700156	[1,2]	3	5	710156	7302	30	20	0	0	900	0	0	0	10000	1	5301	35	1001	10	350
740200	700157	[1,2]	4	5	710157	7402	30	70	15	0	0	500	80	0	0	1	5401	35	1001	10	350
760200	700158	[1,2]	5	5	710158	7602	30	0	24	0	165	0	120	0	5000	1	5601	35	1001	10	350
1000000	700159	[1,2,3,4]	1	1	710017	5103	1	2000	200	70	500000	20000	0	0	0	0	0	0	0	10	70
1000001	700160	[1,2,3,4]	5	3	710017	5203	1	80	25	15	490	1000	140	60	9500	0	0	0	0	10	70
1000002	700161	[1,2,3,4]	5	3	710017	5203	1	105	28	24	855	1000	140	60	9500	1	0	34	0	10	70
1000003	700162	[1,2,3,4]	5	4	710017	5203	1	120	30	25	620	1200	170	70	12000	0	0	0	0	10	70
1000004	700163	[1,2,3,4]	5	4	710017	5203	1	170	35	29	1185	1200	170	70	12000	1	0	34	0	10	70
1000005	700164	[1,2,3,4]	5	5	710017	5203	1	200	39	25	850	1600	200	80	15000	0	0	0	0	10	70
1000006	700165	[1,2,3,4]	5	5	710017	5203	1	300	47	31	1740	1900	200	80	15000	1	0	34	0	10	70
1000007	700166	[1,2,3,4]	5	5	710017	5303	1	0	0	0	200000	0	100	0	0	0	0	0	0	10	70
