mob								
怪物编号	怪物avatar	怪物攻击	怪物血量	怪物速度	怪物类型	怪物死亡加魔法值	怪物功能类型	不可中buff
11010052	1101	1	490	40	1	2	0	[]
11010053	1101	1	505	40	1	2	0	[]
11010054	1101	1	520	40	1	2	0	[]
11010055	1101	1	535	40	1	2	0	[]
11010056	1101	1	550	40	1	2	0	[]
11010057	1101	1	565	40	1	2	0	[]
11010058	1101	1	580	40	1	2	0	[]
11010059	1101	1	595	40	1	2	0	[]
11010060	1101	1	610	40	1	2	0	[]
11010061	1101	1	625	40	1	2	0	[]
11010062	1101	1	640	40	1	2	0	[]
11010063	1101	1	655	40	1	2	0	[]
11010064	1101	1	670	40	1	2	0	[]
11010065	1101	1	685	40	1	2	0	[]
11010066	1101	1	700	40	1	2	0	[]
11010067	1101	1	715	40	1	2	0	[]
11010068	1101	1	730	40	1	2	0	[]
11010069	1101	1	745	40	1	2	0	[]
11010070	1101	1	760	40	1	2	0	[]
11010071	1101	1	775	40	1	2	0	[]
11010072	1101	1	790	40	1	2	0	[]
11010073	1101	1	805	40	1	2	0	[]
11010074	1101	1	820	40	1	2	0	[]
11010075	1101	1	835	40	1	2	0	[]
11010076	1101	1	850	40	1	2	0	[]
11010077	1101	1	865	40	1	2	0	[]
11010078	1101	1	880	40	1	2	0	[]
11010079	1101	1	895	40	1	2	0	[]
11010080	1101	1	910	40	1	2	0	[]
11010081	1101	1	925	40	1	2	0	[]
11010082	1101	1	940	40	1	2	0	[]
11010083	1101	1	955	40	1	2	0	[]
11010084	1101	1	970	40	1	2	0	[]
11010085	1101	1	985	40	1	2	0	[]
11010086	1101	1	1000	40	1	2	0	[]
11010087	1101	1	1015	40	1	2	0	[]
11010088	1101	1	1030	40	1	2	0	[]
11010089	1101	1	1045	40	1	2	0	[]
11010090	1101	1	1060	40	1	2	0	[]
11010091	1101	1	1075	40	1	2	0	[]
11010092	1101	1	1090	40	1	2	0	[]
11010093	1101	1	1105	40	1	2	0	[]
11010094	1101	1	1120	40	1	2	0	[]
11010095	1101	1	1135	40	1	2	0	[]
11010096	1101	1	1150	40	1	2	0	[]
11010097	1101	1	1165	40	1	2	0	[]
11010098	1101	1	1180	40	1	2	0	[]
11010099	1101	1	1195	40	1	2	0	[]
11010100	1101	1	1210	40	1	2	0	[]
11010101	1101	1	1225	40	1	2	0	[]
11010102	1101	1	1240	40	1	2	0	[]
11010103	1101	1	1255	40	1	2	0	[]
11010104	1101	1	1270	40	1	2	0	[]
11010105	1101	1	1285	40	1	2	0	[]
11010106	1101	1	1300	40	1	2	0	[]
11010107	1101	1	1315	40	1	2	0	[]
11010108	1101	1	1330	40	1	2	0	[]
11010109	1101	1	1345	40	1	2	0	[]
11010110	1101	1	1360	40	1	2	0	[]
11010111	1101	1	1375	40	1	2	0	[]
11010112	1101	1	1390	40	1	2	0	[]
11010113	1101	1	1405	40	1	2	0	[]
11010114	1101	1	1420	40	1	2	0	[]
11010115	1101	1	1435	40	1	2	0	[]
11010116	1101	1	1450	40	1	2	0	[]
11010117	1101	1	1465	40	1	2	0	[]
11010118	1101	1	1480	40	1	2	0	[]
11010119	1101	1	1495	40	1	2	0	[]
11010120	1101	1	1510	40	1	2	0	[]
11010121	1101	1	1525	40	1	2	0	[]
11010122	1101	1	1540	40	1	2	0	[]
11010123	1101	1	1555	40	1	2	0	[]
11010124	1101	1	1570	40	1	2	0	[]
11010125	1101	1	1585	40	1	2	0	[]
11010126	1101	1	1600	40	1	2	0	[]
11010127	1101	1	1615	40	1	2	0	[]
11010128	1101	1	1630	40	1	2	0	[]
11010129	1101	1	1645	40	1	2	0	[]
11010130	1101	1	1660	40	1	2	0	[]
11010131	1101	1	1675	40	1	2	0	[]
11010132	1101	1	1690	40	1	2	0	[]
11010133	1101	1	1705	40	1	2	0	[]
11010134	1101	1	1720	40	1	2	0	[]
11010135	1101	1	1735	40	1	2	0	[]
11010136	1101	1	1750	40	1	2	0	[]
11010137	1101	1	1765	40	1	2	0	[]
11010138	1101	1	1780	40	1	2	0	[]
11010139	1101	1	1795	40	1	2	0	[]
11010140	1101	1	1810	40	1	2	0	[]
11010141	1101	1	1825	40	1	2	0	[]
11010142	1101	1	1840	40	1	2	0	[]
11010143	1101	1	1855	40	1	2	0	[]
11010144	1101	1	1870	40	1	2	0	[]
11010145	1101	1	1885	40	1	2	0	[]
11010146	1101	1	1900	40	1	2	0	[]
11010147	1101	1	1915	40	1	2	0	[]
11010148	1101	1	1930	40	1	2	0	[]
11010149	1101	1	1945	40	1	2	0	[]
11010150	1101	1	1960	40	1	2	0	[]
11010151	1101	1	1975	40	1	2	0	[]
11010152	1101	1	1990	40	1	2	0	[]
11010153	1101	1	2005	40	1	2	0	[]
11010154	1101	1	2020	40	1	2	0	[]
11010155	1101	1	2035	40	1	2	0	[]
11010156	1101	1	2050	40	1	2	0	[]
11010157	1101	1	2065	40	1	2	0	[]
11010158	1101	1	2080	40	1	2	0	[]
11010159	1101	1	2095	40	1	2	0	[]
11010160	1101	1	2110	40	1	2	0	[]
11010161	1101	1	2125	40	1	2	0	[]
11010162	1101	1	2140	40	1	2	0	[]
11010163	1101	1	2155	40	1	2	0	[]
11010164	1101	1	2170	40	1	2	0	[]
11010165	1101	1	2185	40	1	2	0	[]
11010166	1101	1	2200	40	1	2	0	[]
11010167	1101	1	2215	40	1	2	0	[]
11010168	1101	1	2230	40	1	2	0	[]
11010169	1101	1	2245	40	1	2	0	[]
11010170	1101	1	2260	40	1	2	0	[]
11010171	1101	1	2275	40	1	2	0	[]
11010172	1101	1	2290	40	1	2	0	[]
11010173	1101	1	2305	40	1	2	0	[]
11010174	1101	1	2320	40	1	2	0	[]
11010175	1101	1	2335	40	1	2	0	[]
11010176	1101	1	2350	40	1	2	0	[]
11010177	1101	1	2365	40	1	2	0	[]
11010178	1101	1	2380	40	1	2	0	[]
11010179	1101	1	2395	40	1	2	0	[]
11010180	1101	1	2410	40	1	2	0	[]
11010181	1101	1	2425	40	1	2	0	[]
11010182	1101	1	2440	40	1	2	0	[]
11010183	1101	1	2455	40	1	2	0	[]
11010184	1101	1	2470	40	1	2	0	[]
11010185	1101	1	2485	40	1	2	0	[]
11010186	1101	1	2500	40	1	2	0	[]
11010187	1101	1	2515	40	1	2	0	[]
11010188	1101	1	2530	40	1	2	0	[]
11010189	1101	1	2545	40	1	2	0	[]
11010190	1101	1	2560	40	1	2	0	[]
11010191	1101	1	2575	40	1	2	0	[]
11010192	1101	1	2590	40	1	2	0	[]
11010193	1101	1	2605	40	1	2	0	[]
11010194	1101	1	2620	40	1	2	0	[]
11010195	1101	1	2635	40	1	2	0	[]
11010196	1101	1	2650	40	1	2	0	[]
11010197	1101	1	2665	40	1	2	0	[]
11010198	1101	1	2680	40	1	2	0	[]
11010199	1101	1	2695	40	1	2	0	[]
11010200	1101	1	2710	40	1	2	0	[]
11110001	1111	1	40	40	1	2	0	[]
11110002	1111	1	45	40	1	2	0	[]
11110003	1111	1	50	40	1	2	0	[]
11110004	1111	1	55	40	1	2	0	[]
11110005	1111	1	60	40	1	2	0	[]
11110006	1111	1	65	40	1	2	0	[]
11110007	1111	1	70	40	1	2	0	[]
11110008	1111	1	75	40	1	2	0	[]
11110009	1111	1	80	40	1	2	0	[]
11110010	1111	1	90	40	1	2	0	[]
11110011	1111	1	100	40	1	2	0	[]
11110012	1111	1	110	40	1	2	0	[]
11110013	1111	1	120	40	1	2	0	[]
11110014	1111	1	130	40	1	2	0	[]
11110015	1111	1	140	40	1	2	0	[]
11110016	1111	1	150	40	1	2	0	[]
11110017	1111	1	160	40	1	2	0	[]
11110018	1111	1	170	40	1	2	0	[]
11110019	1111	1	180	40	1	2	0	[]
11110020	1111	1	190	40	1	2	0	[]
11110021	1111	1	200	40	1	2	0	[]
11110022	1111	1	210	40	1	2	0	[]
11110023	1111	1	220	40	1	2	0	[]
11110024	1111	1	230	40	1	2	0	[]
11110025	1111	1	235	40	1	2	0	[]
11110026	1111	1	240	40	1	2	0	[]
11110027	1111	1	245	40	1	2	0	[]
11110028	1111	1	250	40	1	2	0	[]
11110029	1111	1	255	40	1	2	0	[]
11110030	1111	1	260	40	1	2	0	[]
11110031	1111	1	265	40	1	2	0	[]
11110032	1111	1	270	40	1	2	0	[]
11110033	1111	1	275	40	1	2	0	[]
11110034	1111	1	280	40	1	2	0	[]
11110035	1111	1	285	40	1	2	0	[]
11110036	1111	1	290	40	1	2	0	[]
11110037	1111	1	295	40	1	2	0	[]
11110038	1111	1	300	40	1	2	0	[]
11110039	1111	1	305	40	1	2	0	[]
11110040	1111	1	310	40	1	2	0	[]
11110041	1111	1	325	40	1	2	0	[]
11110042	1111	1	340	40	1	2	0	[]
11110043	1111	1	355	40	1	2	0	[]
11110044	1111	1	370	40	1	2	0	[]
11110045	1111	1	385	40	1	2	0	[]
11110046	1111	1	400	40	1	2	0	[]
11110047	1111	1	415	40	1	2	0	[]
11110048	1111	1	430	40	1	2	0	[]
11110049	1111	1	445	40	1	2	0	[]
11110050	1111	1	460	40	1	2	0	[]
11110051	1111	1	475	40	1	2	0	[]
11110052	1111	1	490	40	1	2	0	[]
11110053	1111	1	505	40	1	2	0	[]
11110054	1111	1	520	40	1	2	0	[]
11110055	1111	1	535	40	1	2	0	[]
11110056	1111	1	550	40	1	2	0	[]
11110057	1111	1	565	40	1	2	0	[]
11110058	1111	1	580	40	1	2	0	[]
11110059	1111	1	595	40	1	2	0	[]
11110060	1111	1	610	40	1	2	0	[]
11110061	1111	1	625	40	1	2	0	[]
11110062	1111	1	640	40	1	2	0	[]
11110063	1111	1	655	40	1	2	0	[]
11110064	1111	1	670	40	1	2	0	[]
11110065	1111	1	685	40	1	2	0	[]
11110066	1111	1	700	40	1	2	0	[]
11110067	1111	1	715	40	1	2	0	[]
11110068	1111	1	730	40	1	2	0	[]
11110069	1111	1	745	40	1	2	0	[]
11110070	1111	1	760	40	1	2	0	[]
11110071	1111	1	775	40	1	2	0	[]
11110072	1111	1	790	40	1	2	0	[]
11110073	1111	1	805	40	1	2	0	[]
11110074	1111	1	820	40	1	2	0	[]
11110075	1111	1	835	40	1	2	0	[]
11110076	1111	1	850	40	1	2	0	[]
11110077	1111	1	865	40	1	2	0	[]
11110078	1111	1	880	40	1	2	0	[]
11110079	1111	1	895	40	1	2	0	[]
11110080	1111	1	910	40	1	2	0	[]
11110081	1111	1	925	40	1	2	0	[]
11110082	1111	1	940	40	1	2	0	[]
11110083	1111	1	955	40	1	2	0	[]
11110084	1111	1	970	40	1	2	0	[]
11110085	1111	1	985	40	1	2	0	[]
11110086	1111	1	1000	40	1	2	0	[]
11110087	1111	1	1015	40	1	2	0	[]
11110088	1111	1	1030	40	1	2	0	[]
11110089	1111	1	1045	40	1	2	0	[]
11110090	1111	1	1060	40	1	2	0	[]
11110091	1111	1	1075	40	1	2	0	[]
11110092	1111	1	1090	40	1	2	0	[]
11110093	1111	1	1105	40	1	2	0	[]
11110094	1111	1	1120	40	1	2	0	[]
11110095	1111	1	1135	40	1	2	0	[]
11110096	1111	1	1150	40	1	2	0	[]
11110097	1111	1	1165	40	1	2	0	[]
11110098	1111	1	1180	40	1	2	0	[]
11110099	1111	1	1195	40	1	2	0	[]
11110100	1111	1	1210	40	1	2	0	[]
11110101	1111	1	1225	40	1	2	0	[]
11110102	1111	1	1240	40	1	2	0	[]
11110103	1111	1	1255	40	1	2	0	[]
11110104	1111	1	1270	40	1	2	0	[]
11110105	1111	1	1285	40	1	2	0	[]
11110106	1111	1	1300	40	1	2	0	[]
11110107	1111	1	1315	40	1	2	0	[]
11110108	1111	1	1330	40	1	2	0	[]
11110109	1111	1	1345	40	1	2	0	[]
11110110	1111	1	1360	40	1	2	0	[]
11110111	1111	1	1375	40	1	2	0	[]
11110112	1111	1	1390	40	1	2	0	[]
11110113	1111	1	1405	40	1	2	0	[]
11110114	1111	1	1420	40	1	2	0	[]
11110115	1111	1	1435	40	1	2	0	[]
11110116	1111	1	1450	40	1	2	0	[]
11110117	1111	1	1465	40	1	2	0	[]
11110118	1111	1	1480	40	1	2	0	[]
11110119	1111	1	1495	40	1	2	0	[]
11110120	1111	1	1510	40	1	2	0	[]
11110121	1111	1	1525	40	1	2	0	[]
11110122	1111	1	1540	40	1	2	0	[]
11110123	1111	1	1555	40	1	2	0	[]
11110124	1111	1	1570	40	1	2	0	[]
11110125	1111	1	1585	40	1	2	0	[]
11110126	1111	1	1600	40	1	2	0	[]
11110127	1111	1	1615	40	1	2	0	[]
11110128	1111	1	1630	40	1	2	0	[]
11110129	1111	1	1645	40	1	2	0	[]
11110130	1111	1	1660	40	1	2	0	[]
11110131	1111	1	1675	40	1	2	0	[]
11110132	1111	1	1690	40	1	2	0	[]
11110133	1111	1	1705	40	1	2	0	[]
11110134	1111	1	1720	40	1	2	0	[]
11110135	1111	1	1735	40	1	2	0	[]
11110136	1111	1	1750	40	1	2	0	[]
11110137	1111	1	1765	40	1	2	0	[]
11110138	1111	1	1780	40	1	2	0	[]
11110139	1111	1	1795	40	1	2	0	[]
11110140	1111	1	1810	40	1	2	0	[]
11110141	1111	1	1825	40	1	2	0	[]
11110142	1111	1	1840	40	1	2	0	[]
11110143	1111	1	1855	40	1	2	0	[]
11110144	1111	1	1870	40	1	2	0	[]
11110145	1111	1	1885	40	1	2	0	[]
11110146	1111	1	1900	40	1	2	0	[]
11110147	1111	1	1915	40	1	2	0	[]
11110148	1111	1	1930	40	1	2	0	[]
11110149	1111	1	1945	40	1	2	0	[]
11110150	1111	1	1960	40	1	2	0	[]
11110151	1111	1	1975	40	1	2	0	[]
11110152	1111	1	1990	40	1	2	0	[]
11110153	1111	1	2005	40	1	2	0	[]
11110154	1111	1	2020	40	1	2	0	[]
11110155	1111	1	2035	40	1	2	0	[]
11110156	1111	1	2050	40	1	2	0	[]
11110157	1111	1	2065	40	1	2	0	[]
11110158	1111	1	2080	40	1	2	0	[]
11110159	1111	1	2095	40	1	2	0	[]
11110160	1111	1	2110	40	1	2	0	[]
11110161	1111	1	2125	40	1	2	0	[]
11110162	1111	1	2140	40	1	2	0	[]
11110163	1111	1	2155	40	1	2	0	[]
11110164	1111	1	2170	40	1	2	0	[]
11110165	1111	1	2185	40	1	2	0	[]
11110166	1111	1	2200	40	1	2	0	[]
11110167	1111	1	2215	40	1	2	0	[]
11110168	1111	1	2230	40	1	2	0	[]
11110169	1111	1	2245	40	1	2	0	[]
11110170	1111	1	2260	40	1	2	0	[]
11110171	1111	1	2275	40	1	2	0	[]
11110172	1111	1	2290	40	1	2	0	[]
11110173	1111	1	2305	40	1	2	0	[]
11110174	1111	1	2320	40	1	2	0	[]
11110175	1111	1	2335	40	1	2	0	[]
11110176	1111	1	2350	40	1	2	0	[]
11110177	1111	1	2365	40	1	2	0	[]
11110178	1111	1	2380	40	1	2	0	[]
11110179	1111	1	2395	40	1	2	0	[]
11110180	1111	1	2410	40	1	2	0	[]
11110181	1111	1	2425	40	1	2	0	[]
11110182	1111	1	2440	40	1	2	0	[]
11110183	1111	1	2455	40	1	2	0	[]
11110184	1111	1	2470	40	1	2	0	[]
11110185	1111	1	2485	40	1	2	0	[]
11110186	1111	1	2500	40	1	2	0	[]
11110187	1111	1	2515	40	1	2	0	[]
11110188	1111	1	2530	40	1	2	0	[]
11110189	1111	1	2545	40	1	2	0	[]
11110190	1111	1	2560	40	1	2	0	[]
11110191	1111	1	2575	40	1	2	0	[]
11110192	1111	1	2590	40	1	2	0	[]
11110193	1111	1	2605	40	1	2	0	[]
11110194	1111	1	2620	40	1	2	0	[]
11110195	1111	1	2635	40	1	2	0	[]
11110196	1111	1	2650	40	1	2	0	[]
11110197	1111	1	2665	40	1	2	0	[]
11110198	1111	1	2680	40	1	2	0	[]
11110199	1111	1	2695	40	1	2	0	[]
11110200	1111	1	2710	40	1	2	0	[]
11020001	3106	1	1800	30	1	2	0	[]
11020002	1102	1	200	55	1	2	0	[]
11020003	1108	1	150	55	1	2	0	[]
11020004	1102	1	50	55	1	2	0	[]
11020005	1102	1	55	55	1	2	0	[]
11020006	1102	1	60	55	1	2	0	[]
11020007	1102	1	65	55	1	2	0	[]
11020008	1102	1	70	55	1	2	0	[]
11020009	1102	1	75	55	1	2	0	[]
11020010	1102	1	80	55	1	2	0	[]
11020011	1102	1	85	55	1	2	0	[]
11020012	1102	1	90	55	1	2	0	[]
11020013	1102	1	95	55	1	2	0	[]
11020014	1102	1	100	55	1	2	0	[]
11020015	1102	1	105	55	1	2	0	[]
11020016	1102	1	110	55	1	2	0	[]
11020017	1102	1	120	55	1	2	0	[]
11020018	1102	1	130	55	1	2	0	[]
11020019	1102	1	135	55	1	2	0	[]
11020020	1102	1	140	55	1	2	0	[]
11020021	1102	1	145	55	1	2	0	[]
11020022	1102	1	150	55	1	2	0	[]
11020023	1102	1	155	55	1	2	0	[]
11020024	1102	1	160	55	1	2	0	[]
11020025	1102	1	165	55	1	2	0	[]
11020026	1102	1	170	55	1	2	0	[]
11020027	1102	1	175	55	1	2	0	[]
11020028	1102	1	180	55	1	2	0	[]
11020029	1102	1	185	55	1	2	0	[]
11020030	1102	1	190	55	1	2	0	[]
11020031	1102	1	195	55	1	2	0	[]
11020032	1102	1	200	55	1	2	0	[]
11020033	1102	1	205	55	1	2	0	[]
11020034	1102	1	210	55	1	2	0	[]
11020035	1102	1	215	55	1	2	0	[]
11020036	1102	1	220	55	1	2	0	[]
11020037	1102	1	225	55	1	2	0	[]
11020038	1102	1	230	55	1	2	0	[]
11020039	1102	1	235	55	1	2	0	[]
11020040	1102	1	240	55	1	2	0	[]
11020041	1102	1	250	55	1	2	0	[]
11020042	1102	1	260	55	1	2	0	[]
11020043	1102	1	270	55	1	2	0	[]
11020044	1102	1	280	55	1	2	0	[]
11020045	1102	1	290	55	1	2	0	[]
11020046	1102	1	300	55	1	2	0	[]
11020047	1102	1	310	55	1	2	0	[]
11020048	1102	1	320	55	1	2	0	[]
11020049	1102	1	330	55	1	2	0	[]
11020050	1102	1	340	55	1	2	0	[]
11020051	1102	1	350	55	1	2	0	[]
11020052	1102	1	360	55	1	2	0	[]
11020053	1102	1	370	55	1	2	0	[]
11020054	1102	1	380	55	1	2	0	[]
11020055	1102	1	390	55	1	2	0	[]
11020056	1102	1	400	55	1	2	0	[]
11020057	1102	1	410	55	1	2	0	[]
11020058	1102	1	420	55	1	2	0	[]
11020059	1102	1	430	55	1	2	0	[]
11020060	1102	1	440	55	1	2	0	[]
11020061	1102	1	450	55	1	2	0	[]
11020062	1102	1	460	55	1	2	0	[]
11020063	1102	1	470	55	1	2	0	[]
11020064	1102	1	480	55	1	2	0	[]
11020065	1102	1	490	55	1	2	0	[]
11020066	1102	1	500	55	1	2	0	[]
11020067	1102	1	510	55	1	2	0	[]
11020068	1102	1	520	55	1	2	0	[]
11020069	1102	1	530	55	1	2	0	[]
11020070	1102	1	540	55	1	2	0	[]
11020071	1102	1	550	55	1	2	0	[]
11020072	1102	1	560	55	1	2	0	[]
11020073	1102	1	570	55	1	2	0	[]
11020074	1102	1	580	55	1	2	0	[]
11020075	1102	1	590	55	1	2	0	[]
11020076	1102	1	600	55	1	2	0	[]
11020077	1102	1	610	55	1	2	0	[]
11020078	1102	1	620	55	1	2	0	[]
11020079	1102	1	630	55	1	2	0	[]
11020080	1102	1	640	55	1	2	0	[]
11020081	1102	1	650	55	1	2	0	[]
11020082	1102	1	660	55	1	2	0	[]
11020083	1102	1	670	55	1	2	0	[]
11020084	1102	1	680	55	1	2	0	[]
11020085	1102	1	690	55	1	2	0	[]
11020086	1102	1	700	55	1	2	0	[]
11020087	1102	1	710	55	1	2	0	[]
11020088	1102	1	720	55	1	2	0	[]
11020089	1102	1	730	55	1	2	0	[]
11020090	1102	1	740	55	1	2	0	[]
11020091	1102	1	750	55	1	2	0	[]
11020092	1102	1	760	55	1	2	0	[]
11020093	1102	1	770	55	1	2	0	[]
11020094	1102	1	780	55	1	2	0	[]
11020095	1102	1	790	55	1	2	0	[]
11020096	1102	1	800	55	1	2	0	[]
11020097	1102	1	810	55	1	2	0	[]
11020098	1102	1	820	55	1	2	0	[]
11020099	1102	1	830	55	1	2	0	[]
11020100	1102	1	840	55	1	2	0	[]
11020101	1102	1	850	55	1	2	0	[]
11020102	1102	1	860	55	1	2	0	[]
11020103	1102	1	870	55	1	2	0	[]
11020104	1102	1	880	55	1	2	0	[]
11020105	1102	1	890	55	1	2	0	[]
11020106	1102	1	900	55	1	2	0	[]
11020107	1102	1	910	55	1	2	0	[]
11020108	1102	1	920	55	1	2	0	[]
11020109	1102	1	930	55	1	2	0	[]
11020110	1102	1	940	55	1	2	0	[]
11020111	1102	1	950	55	1	2	0	[]
11020112	1102	1	960	55	1	2	0	[]
11020113	1102	1	970	55	1	2	0	[]
11020114	1102	1	980	55	1	2	0	[]
11020115	1102	1	990	55	1	2	0	[]
11020116	1102	1	1000	55	1	2	0	[]
11020117	1102	1	1010	55	1	2	0	[]
11020118	1102	1	1020	55	1	2	0	[]
11020119	1102	1	1030	55	1	2	0	[]
11020120	1102	1	1040	55	1	2	0	[]
11020121	1102	1	1050	55	1	2	0	[]
11020122	1102	1	1060	55	1	2	0	[]
11020123	1102	1	1070	55	1	2	0	[]
11020124	1102	1	1080	55	1	2	0	[]
11020125	1102	1	1090	55	1	2	0	[]
11020126	1102	1	1100	55	1	2	0	[]
11020127	1102	1	1110	55	1	2	0	[]
11020128	1102	1	1120	55	1	2	0	[]
11020129	1102	1	1130	55	1	2	0	[]
11020130	1102	1	1140	55	1	2	0	[]
11020131	1102	1	1150	55	1	2	0	[]
11020132	1102	1	1160	55	1	2	0	[]
11020133	1102	1	1170	55	1	2	0	[]
11020134	1102	1	1180	55	1	2	0	[]
11020135	1102	1	1190	55	1	2	0	[]
11020136	1102	1	1200	55	1	2	0	[]
11020137	1102	1	1210	55	1	2	0	[]
11020138	1102	1	1220	55	1	2	0	[]
11020139	1102	1	1230	55	1	2	0	[]
11020140	1102	1	1240	55	1	2	0	[]
11020141	1102	1	1250	55	1	2	0	[]
11020142	1102	1	1260	55	1	2	0	[]
11020143	1102	1	1270	55	1	2	0	[]
11020144	1102	1	1280	55	1	2	0	[]
11020145	1102	1	1290	55	1	2	0	[]
11020146	1102	1	1300	55	1	2	0	[]
11020147	1102	1	1310	55	1	2	0	[]
11020148	1102	1	1320	55	1	2	0	[]
11020149	1102	1	1330	55	1	2	0	[]
11020150	1102	1	1340	55	1	2	0	[]
11020151	1102	1	1350	55	1	2	0	[]
11020152	1102	1	1360	55	1	2	0	[]
11020153	1102	1	1370	55	1	2	0	[]
11020154	1102	1	1380	55	1	2	0	[]
11020155	1102	1	1390	55	1	2	0	[]
11020156	1102	1	1400	55	1	2	0	[]
11020157	1102	1	1410	55	1	2	0	[]
11020158	1102	1	1420	55	1	2	0	[]
11020159	1102	1	1430	55	1	2	0	[]
11020160	1102	1	1440	55	1	2	0	[]
11020161	1102	1	1450	55	1	2	0	[]
11020162	1102	1	1460	55	1	2	0	[]
11020163	1102	1	1470	55	1	2	0	[]
11020164	1102	1	1480	55	1	2	0	[]
11020165	1102	1	1490	55	1	2	0	[]
11020166	1102	1	1500	55	1	2	0	[]
11020167	1102	1	1510	55	1	2	0	[]
11020168	1102	1	1520	55	1	2	0	[]
11020169	1102	1	1530	55	1	2	0	[]
11020170	1102	1	1540	55	1	2	0	[]
11020171	1102	1	1550	55	1	2	0	[]
11020172	1102	1	1560	55	1	2	0	[]
11020173	1102	1	1570	55	1	2	0	[]
11020174	1102	1	1580	55	1	2	0	[]
11020175	1102	1	1590	55	1	2	0	[]
11020176	1102	1	1600	55	1	2	0	[]
11020177	1102	1	1610	55	1	2	0	[]
11020178	1102	1	1620	55	1	2	0	[]
11020179	1102	1	1630	55	1	2	0	[]
11020180	1102	1	1640	55	1	2	0	[]
11020181	1102	1	1650	55	1	2	0	[]
11020182	1102	1	1660	55	1	2	0	[]
11020183	1102	1	1670	55	1	2	0	[]
11020184	1102	1	1680	55	1	2	0	[]
11020185	1102	1	1690	55	1	2	0	[]
11020186	1102	1	1700	55	1	2	0	[]
11020187	1102	1	1710	55	1	2	0	[]
11020188	1102	1	1720	55	1	2	0	[]
11020189	1102	1	1730	55	1	2	0	[]
11020190	1102	1	1740	55	1	2	0	[]
11020191	1102	1	1750	55	1	2	0	[]
11020192	1102	1	1760	55	1	2	0	[]
11020193	1102	1	1770	55	1	2	0	[]
11020194	1102	1	1780	55	1	2	0	[]
11020195	1102	1	1790	55	1	2	0	[]
11020196	1102	1	1800	55	1	2	0	[]
11020197	1102	1	1810	55	1	2	0	[]
11020198	1102	1	1820	55	1	2	0	[]
11020199	1102	1	1830	55	1	2	0	[]
11020200	1102	1	1840	55	1	2	0	[]
11130001	1113	1	35	55	1	2	0	[]
11130002	1113	1	40	55	1	2	0	[]
11130003	1113	1	45	55	1	2	0	[]
11130004	1113	1	50	55	1	2	0	[]
11130005	1113	1	55	55	1	2	0	[]
11130006	1113	1	60	55	1	2	0	[]
11130007	1113	1	65	55	1	2	0	[]
11130008	1113	1	70	55	1	2	0	[]
11130009	1113	1	75	55	1	2	0	[]
11130010	1113	1	80	55	1	2	0	[]
11130011	1113	1	85	55	1	2	0	[]
11130012	1113	1	90	55	1	2	0	[]
